時刻 [sec], ブレーキ踏力 [N], アクセル踏力 [N], 車速 [km/h], 操舵角 [deg], 加速度 (X) [G], 加速度 (Y) [G], 加速度 (Z) [G],
0.000000, -0.007832, 1.247324, 3.442048, 0.646668, 0.000107, 0.006019, 0.050416,
0.100000, -0.279223, 24.062957, 68.993350, 15.087207, 0.028552, 0.085582, 1.033226,
0.200000, -0.257044, 24.056928, 68.556951, 14.999201, 0.036450, 0.075124, 1.031330,
0.300000, -0.241554, 24.137738, 68.556238, 15.226020, 0.038993, 0.072566, 1.052344,
0.400000, -0.242034, 24.072380, 68.562898, 15.313876, 0.038505, 0.064910, 1.097553,
0.500000, -0.231116, 24.409248, 69.122243, 15.285417, 0.038257, 0.068689, 1.102671,
0.600000, -0.245148, 24.266390, 70.344195, 15.467292, 0.032795, 0.074017, 1.080287,
0.700000, -0.266640, 24.225133, 69.782258, 15.622579, 0.034875, 0.076243, 1.055654,
0.800000, -0.266481, 24.494861, 68.569888, 15.577743, 0.036424, 0.073187, 1.036929,
0.900000, -0.229757, 24.239607, 68.565058, 15.581006, 0.039248, 0.070211, 1.052184,
1.000000, -0.210832, 24.618127, 69.123807, 15.363855, 0.039747, 0.065949, 1.063598,
1.100000, -0.230980, 24.190827, 70.168519, 15.520771, 0.033659, 0.067176, 1.060283,
1.200000, -0.220061, 24.232720, 69.754888, 15.350389, 0.036715, 0.069927, 1.063849,
1.300000, -0.237274, 23.544250, 69.771729, 15.490507, 0.035838, 0.069172, 1.066650,
1.400000, -0.240083, 23.018092, 69.771010, 14.992664, 0.034492, 0.067934, 1.060093,
1.500000, -0.202822, 23.425040, 69.753923, 13.963428, 0.032923, 0.065684, 1.053827,
1.600000, -0.202346, 24.254937, 69.757599, 13.402893, 0.034426, 0.068512, 1.059922,
1.700000, -0.176503, 24.470630, 69.759635, 13.223850, 0.036307, 0.069278, 1.071987,
1.800000, -0.186759, 24.701832, 69.759657, 13.222722, 0.034511, 0.076662, 1.080904,
1.900000, -0.235841, 24.070094, 69.776888, 13.104824, 0.034619, 0.074686, 1.072311,
2.000000, -0.242936, 23.389422, 69.778388, 12.889767, 0.034752, 0.081900, 1.071158,
2.100000, -0.265913, 22.851593, 69.787239, 12.615233, 0.033454, 0.081482, 1.063068,
2.200000, -0.267563, 23.333578, 69.787381, 12.332981, 0.035152, 0.083282, 1.047135,
2.300000, -0.351919, 23.735705, 69.828149, 12.719074, 0.034323, 0.088003, 1.065017,
2.400000, -0.292572, 24.178180, 69.808096, 12.451530, 0.035683, 0.087711, 1.070357,
2.500000, -0.320549, 24.053152, 69.811675, 12.455512, 0.032529, 0.087870, 1.068199,
2.600000, -0.314004, 24.152014, 69.808893, 12.475260, 0.034323, 0.089894, 1.071693,
2.700000, -0.286769, 23.953107, 69.800634, 12.573187, 0.035385, 0.092492, 1.085820,
2.800000, -0.264905, 23.218761, 69.778268, 11.673570, 0.035642, 0.089643, 1.077499,
2.900000, -0.283244, 23.097674, 69.776358, 11.175495, 0.032887, 0.094613, 1.065130,
