host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
77,2,0,443.0002,2,0,0,5.8,4.2,5.6,3.6,Inf,Inf,Inf,438.8,-443,-0.4,Inf,Inf,Inf,Inf,Inf,Inf
77,2,0,440.0495,2,0,0,5.8,4.2,5.6,3.4,Inf,Inf,Inf,435.8,-440,-6.6,Inf,Inf,Inf,Inf,Inf,Inf
76,2,0,596.995,2,0,0,5.8,4.2,5.6,3.6,Inf,Inf,Inf,7669.8,7651.6,470.6,Inf,Inf,Inf,593,-596.2,-30.8
79,2,0,265.8061,2,0,0,5.8,4.4,5.6,3.6,Inf,Inf,Inf,261.4,-265.8,1.8,Inf,Inf,Inf,Inf,Inf,Inf
78,2,0,523.4093,2,0,0,5.8,4.4,5.6,3.6,Inf,Inf,Inf,519.2,-523.2,-14.8,Inf,Inf,Inf,Inf,Inf,Inf
78,2,0,396.6702,2,0,0,5.8,4.4,5.6,3.6,Inf,Inf,Inf,400.2,394.2,44.2,Inf,Inf,Inf,Inf,Inf,Inf
78,2,0,7943.5945,2,0,0,5.8,4.6,5.6,3.6,Inf,Inf,Inf,7947.6,7924,557.6,Inf,Inf,Inf,Inf,Inf,Inf
77,2,0,619.3544,2,0,0,5.8,4.8,5.6,3.6,Inf,Inf,Inf,614.8,-618.8,-26.2,Inf,Inf,Inf,Inf,Inf,Inf
79,2,0,340.8494,2,0,0,5.8,4.8,5.6,3.8,Inf,Inf,Inf,714,-717.4,-38.8,Inf,Inf,Inf,336.4,-339.4,-31.4
79,2,0,397.3726,2,0,0,5.8,5,5.6,3.8,Inf,Inf,Inf,7382,7353,603.8,Inf,Inf,Inf,393,-396,-33
78,2,0,6984.9219,2,0,0,5.8,5.2,5.6,3.8,Inf,Inf,Inf,7191.4,7162.8,588.8,Inf,Inf,Inf,6980.6,-6975.2,-368.4
79,2,0,416.3646,2,0,0,5.8,5.4,5.6,4,Inf,Inf,Inf,8391.2,8361.2,651.2,Inf,Inf,Inf,411.6,-414.4,-40.4
80,2,0,389.3839,2,0,0,5.8,5.6,5.6,4,Inf,Inf,Inf,6147.2,6124.2,472.2,Inf,Inf,Inf,384.6,-388,-32.8
80,2,0,210.3918,2,0,0,5.8,5.6,5.6,4.2,Inf,Inf,Inf,5943.4,5915.6,522.8,Inf,Inf,Inf,205.2,-208.6,-27.4
79,2,0,368.3447,2,0,0,6,5.8,5.6,4.2,Inf,Inf,Inf,5943.6,5915.6,523,Inf,Inf,Inf,363.4,-366.4,-37.8
79,2,0,417.0008,3,0,0,6,6,5.6,4.4,Inf,Inf,Inf,7577.6,7547.6,612.6,Inf,Inf,Inf,411.8,-415,-40.8
82,2,0,7572.2206,3,0,0,6,6.2,5.6,4.4,Inf,Inf,Inf,7577.6,7547.4,612.6,Inf,Inf,Inf,Inf,Inf,Inf
81,2,0,214.7378,3,0,0,6,6.4,5.6,4.6,Inf,Inf,Inf,4192.4,4175.8,302.6,Inf,Inf,Inf,209,-212.4,-31.6
81,2,0,416.2619,3,0,0,6,6.6,5.6,4.6,Inf,Inf,Inf,9038.4,9006.6,684.8,Inf,Inf,Inf,410.6,-413.6,-47
81,2,0,487.9361,3,0,0,6,6.6,5.6,4.8,Inf,Inf,Inf,6817.6,6787.6,575,Inf,Inf,Inf,482.2,-485.2,-51.6
83,2,0,5972.8846,3,0,0,6,6.8,5.8,4.8,Inf,Inf,Inf,3499.6,3480.6,303.4,Inf,Inf,Inf,5967.2,-5954.6,-467
83,2,0,3270.2198,3,0,0,6,7,5.8,5,Inf,Inf,Inf,7733.8,7707.8,552.6,Inf,Inf,Inf,3264.4,-3260.2,-255.8
82,2,0,525.9494,3,0,0,6,7.2,5.8,5.2,Inf,Inf,Inf,547.2,-553.6,-22.4,Inf,Inf,Inf,519.6,-522.4,-61
82,2,0,1781.2595,3,0,0,6,7.2,5.8,5.2,Inf,Inf,Inf,565,555.6,61.4,Inf,Inf,Inf,1775.2,-1775.2,-146.8
81,2,0,6289.5381,3,0,0,6,7.4,5.8,5.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6283.2,-6266.4,-539
83,2,0,3414.2233,3,0,0,6,7.6,5.8,5.6,Inf,Inf,Inf,767.2,-773.4,-39.2,Inf,Inf,Inf,3407.6,-3401,-300.2
83,2,0,2401.9035,3,0,0,6,7.8,5.8,5.6,Inf,Inf,Inf,7775.8,7744,622.2,Inf,Inf,Inf,2395.4,-2392.6,-211.2
83,2,0,6290.0121,3,0,0,6,8,5.8,5.8,Inf,Inf,Inf,9260.4,9226.6,702.8,Inf,Inf,Inf,6283.2,-6266.2,-546.8
84,2,0,6643.7955,3,0,0,6,8,5.8,5.8,Inf,Inf,Inf,695.8,684.8,76.2,Inf,Inf,Inf,6637,-6620,-561.8
83,2,0,755.4178,3,0,0,6.2,8.2,5.8,6,Inf,Inf,Inf,701.4,-708.4,-32.2,Inf,Inf,Inf,762,754.4,39.2
85,2,0,6516.362,3,0,0,6,8.4,5.8,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6509,-6487.2,-615.8
85,2,0,4734.2493,3,0,0,6,8.6,5.8,6.2,Inf,Inf,Inf,4741.8,4719.8,369.6,Inf,Inf,Inf,Inf,Inf,Inf
84,2,0,691.7374,3,0,0,6,8.8,5.8,6.4,Inf,Inf,Inf,8841,8812.2,607,Inf,Inf,Inf,698.8,690.8,36
84,2,0,7976.1473,3,0,0,6,9,5.8,6.6,Inf,Inf,Inf,8164.2,8135.8,576.8,Inf,Inf,Inf,7968.4,-7945.6,-697.4
84,2,0,733.5037,3,0,0,6,9,5.8,6.6,Inf,Inf,Inf,8391.2,8357.6,655,Inf,Inf,Inf,740.6,732.6,36.4
85,2,0,687.1793,3,0,0,6,9.2,5.8,6.8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,679,-682.6,-79.2
85,2,0,661.41,3,0,0,6,9.4,6,6.8,Inf,Inf,Inf,4300.4,4278.2,345.6,Inf,Inf,Inf,668.8,660.8,28.4
84,2,0,873.0553,3,0,0,6,9.6,5.8,7,Inf,Inf,Inf,548.8,537,63,Inf,Inf,Inf,880.6,871.8,46.8
82,2,0,539.7992,3,0,0,6,9.8,6,7.2,Inf,Inf,Inf,8612.4,8583.2,592.8,Inf,Inf,Inf,531.2,-535.6,-67.2
83,2,0,7182.7702,3,0,0,5.8,9.8,6,7.2,Inf,Inf,Inf,7191.4,7158.2,593.6,Inf,Inf,Inf,Inf,Inf,Inf
83,2,0,814.1443,3,0,0,5.8,10,5.8,7.4,Inf,Inf,Inf,7733.8,7704.8,555.6,Inf,Inf,Inf,822.2,813.2,39.2
83,2,0,866.149,4,0,0,5.8,10.2,5.8,7.6,Inf,Inf,Inf,3966.4,3946.2,294.8,Inf,Inf,Inf,874.4,865,44.6
83,2,0,3166.6948,4,0,0,5.8,10.2,5.8,7.6,Inf,Inf,Inf,7733.8,7704.6,555.8,Inf,Inf,Inf,3158,-3156.2,-257.6
83,2,0,988.0457,4,0,0,5.8,10.4,5.8,7.8,Inf,Inf,Inf,505,493,55.2,Inf,Inf,Inf,996.4,986.8,49.6
83,2,0,3896.9438,4,0,0,5.8,10.6,5.8,8,Inf,Inf,Inf,7445,7420.4,470.2,Inf,Inf,Inf,3887.8,-3883.2,-327
83,2,0,6178.3562,4,0,0,5.8,10.6,5.8,8.2,Inf,Inf,Inf,6188,6164.2,418,Inf,Inf,Inf,Inf,Inf,Inf
84,2,0,2378.5728,4,0,0,6,10.8,5.8,8.2,Inf,Inf,Inf,5880.6,5860.8,339.2,Inf,Inf,Inf,2369.2,-2370.2,-199.4
81,2,0,1255.3048,4,0,0,5.8,10.8,5.8,8.4,Inf,Inf,Inf,295,283,40.8,Inf,Inf,Inf,1264.4,1253.6,65.4
82,2,0,1023.5586,4,0,0,5.8,11,5.8,8.4,Inf,Inf,Inf,388.2,376,44.8,Inf,Inf,Inf,1032.6,1022.8,39.4
82,2,0,12204.7721,4,0,0,5.8,11.2,5.8,8.6,Inf,Inf,Inf,12215.2,12187.6,647.2,Inf,Inf,Inf,Inf,Inf,Inf
82,2,0,4983.939,4,0,0,5.8,11.2,5.6,8.8,Inf,Inf,Inf,12215.2,12187.6,647.2,Inf,Inf,Inf,4974,-4969,-385.6
82,2,0,892.7315,4,0,0,5.8,11.2,5.6,8.8,Inf,Inf,Inf,8862.2,8836.2,526.6,Inf,Inf,Inf,902,892.2,30.8
82,2,0,3648.1466,4,0,0,5.8,11.4,5.6,9,Inf,Inf,Inf,4249.6,4233,225.6,Inf,Inf,Inf,3638,-3637.2,-282.4
82,2,0,5283.2079,4,0,0,5.8,11.4,5.6,9,Inf,Inf,Inf,5473,5453,323.2,Inf,Inf,Inf,5273.2,-5271.2,-356
82,2,0,6401.9096,4,0,0,5.8,11.6,5.6,9.2,Inf,Inf,Inf,10209.6,10187.6,477.6,Inf,Inf,Inf,6391.6,-6389.2,-403.2
83,2,0,8851.5022,4,0,0,5.8,11.6,5.6,9.2,Inf,Inf,Inf,8862.2,8835.8,527,Inf,Inf,Inf,Inf,Inf,Inf
83,2,0,3431.5712,4,0,0,5.8,11.8,5.6,9.4,Inf,Inf,Inf,11798.6,11775.8,526.6,Inf,Inf,Inf,3421.2,-3424.2,-224.8
83,2,0,4364.7518,2,0,0,5.8,4.4,5.6,9.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4354.4,-4355.8,-279.4
83,2,0,11932.6049,2,0,0,5.8,4.4,5.6,9.6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,11922,-11909.6,-740.6
82,2,0,174.2831,2,0,0,5.8,4.4,5.6,9.6,Inf,Inf,Inf,169.2,-173.2,19.4,Inf,Inf,Inf,923.6,913.4,21
80,2,0,628.0087,2,0,0,5.8,3.8,5.6,9.8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,616.8,-625,-61.4
80,2,0,794.3454,2,0,0,5.8,3.8,5.6,9.8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,804.4,794.2,15.2
81,2,0,694.2309,2,0,0,5.8,3.8,5.6,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,682.8,-691.2,-64.8
80,2,0,733.8709,2,0,0,5.8,3.8,5.6,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,744.2,733.8,10.2
80,2,0,750.5382,2,0,0,5.8,3.8,5.6,10.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,761.2,750.4,14.4
81,2,0,4505.8412,2,0,0,5.8,3.8,5.6,10.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4494.6,-4498.8,-251.8
81,2,0,456.5808,2,0,0,5.8,3.8,5.6,10.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,444.4,-453.4,-53.8
81,2,0,Inf,2,0,0,5.8,3.8,5.6,9.6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
81,2,0,Inf,2,0,0,5.8,3.8,5.6,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
81,2,0,Inf,2,0,0,5.8,3.8,5.6,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
81,2,0,Inf,2,0,0,5.8,3.8,5.6,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
81,2,0,Inf,2,0,0,5.8,3.8,5.6,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
80,2,0,Inf,2,0,0,5.8,3.8,5.6,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
