時刻 [sec], ブレーキ踏力 [N], アクセル踏力 [N], 車速 [km/h], 操舵角 [deg], 加速度 (X) [G], 加速度 (Y) [G], 加速度 (Z) [G],
0.000000, 0.071104, 0.540004, 3.717929, 0.928506, 0.000848, 0.003097, 0.057490,
0.100000, 1.490686, 11.211497, 74.333182, 17.492085, -0.000447, 0.056459, 1.093859,
0.200000, 1.480894, 10.932069, 73.866778, 18.398543, -0.003525, 0.056200, 1.078469,
0.300000, 1.508758, 14.786934, 73.854900, 18.374786, -0.001698, 0.053463, 1.079487,
0.400000, 1.494257, 20.489784, 73.871826, 18.052086, 0.000602, 0.048222, 1.093548,
0.500000, 1.536508, 22.541675, 73.866850, 18.198197, -0.003310, 0.051394, 1.086634,
0.600000, 1.533731, 22.944745, 73.851241, 17.695998, 0.000818, 0.052362, 1.091867,
0.700000, 1.427058, 23.474016, 73.848918, 17.844138, -0.002110, 0.050362, 1.080214,
0.800000, 1.481509, 23.945589, 73.850240, 17.350697, 0.006935, 0.054764, 1.085305,
0.900000, 1.448385, 23.988815, 73.868087, 17.468067, 0.002694, 0.046895, 1.069605,
1.000000, 1.444847, 24.053620, 73.868599, 17.197048, 0.000402, 0.053158, 1.075743,
1.100000, 1.522331, 24.251623, 73.861196, 16.892637, 0.003062, 0.058371, 1.090478,
1.200000, 1.466063, 24.190958, 73.862385, 16.622948, 0.002812, 0.051197, 1.078218,
1.300000, 1.523494, 23.768668, 73.654978, 16.810394, 0.004854, 0.059423, 1.094981,
1.400000, 1.469260, 22.683854, 73.484025, 17.234557, 0.003874, 0.057602, 1.092509,
1.500000, 1.457023, 21.794478, 73.670976, 16.717411, -0.004873, 0.060529, 1.077037,
1.600000, 1.531012, 21.908744, 73.477274, 17.021388, 0.012945, 0.066348, 1.096949,
1.700000, 1.476313, 21.752767, 73.656365, 16.201473, -0.004256, 0.053619, 1.097659,
1.800000, 1.447761, 21.657598, 73.278391, 17.118361, -0.000904, 0.059721, 1.073381,
1.900000, 1.403191, 22.891172, 73.467245, 17.374442, -0.000306, 0.070857, 1.023956,
2.000000, 1.468214, 24.360976, 73.869858, 15.772282, 0.003722, 0.070002, 1.043680,
2.100000, 1.475237, 24.837959, 73.664123, 16.641551, 0.007750, 0.062042, 1.071372,
2.200000, 1.494558, 24.080189, 73.265244, 17.017424, -0.003265, 0.051004, 1.099016,
2.300000, 1.519459, 23.437931, 73.284280, 16.672370, 0.014112, 0.064083, 1.144691,
2.400000, 1.461177, 23.556398, 73.276864, 17.392447, 0.002585, 0.061189, 1.104768,
2.500000, 1.456466, 23.956010, 73.295817, 16.657937, 0.006281, 0.054723, 1.098998,
2.600000, 1.451661, 24.099220, 73.259574, 16.510394, 0.004884, 0.063565, 1.057738,
2.700000, 1.409031, 24.273730, 73.275955, 17.155089, 0.007255, 0.063852, 1.073863,
2.800000, 1.454187, 24.511815, 73.281686, 16.998639, 0.007974, 0.050878, 1.063268,
2.900000, 1.451484, 24.206334, 73.273789, 16.513860, 0.006297, 0.060275, 1.073565,
3.000000, 1.449550, 23.247970, 74.077129, 16.672126, 0.013358, 0.062874, 1.080731,
3.100000, 1.437035, 21.498525, 75.623999, 16.544074, 0.005470, 0.059348, 1.085812,
3.200000, 1.434964, 20.968629, 75.657576, 16.734321, 0.009431, 0.059317, 1.084547,
3.300000, 1.492612, 21.278108, 75.628228, 16.432010, 0.011069, 0.067000, 1.097111,
3.400000, 1.428214, 20.984798, 75.667587, 16.519108, 0.011402, 0.067158, 1.077438,
3.500000, 1.389916, 21.255373, 75.437791, 16.440151, 0.009999, 0.064530, 1.079313,
3.600000, 1.477712, 21.531918, 75.044331, 16.002208, 0.008840, 0.057609, 1.086271,
3.700000, 1.462580, 22.057091, 75.026521, 16.315209, 0.007821, 0.057364, 1.079499,
3.800000, 1.464674, 22.458904, 75.033623, 16.316054, 0.009188, 0.065862, 1.075098,
3.900000, 1.429264, 22.866111, 75.034190, 15.997584, 0.011235, 0.074136, 1.079961,
4.000000, 1.463508, 22.372308, 75.052253, 16.020030, 0.014226, 0.059486, 1.089621,
4.100000, 1.483077, 21.706212, 75.030791, 15.800155, 0.014286, 0.052491, 1.082535,
4.200000, 1.461135, 21.537867, 75.048110, 16.046437, 0.013593, 0.058001, 1.077661,
4.300000, 1.460802, 21.934768, 75.041811, 15.945281, 0.010295, 0.057577, 1.075029,
4.400000, 1.494463, 22.273507, 75.047392, 16.507978, 0.012346, 0.062865, 1.092751,
4.500000, 1.467635, 21.627069, 75.035916, 15.779525, 0.009175, 0.056969, 1.096273,
4.600000, 1.492669, 19.962091, 74.843331, 15.793205, 0.013000, 0.054651, 1.096706,
4.700000, 1.459791, 17.384671, 74.456614, 16.321558, 0.011812, 0.055538, 1.095074,
4.800000, 1.453357, 15.859222, 74.463384, 15.755165, 0.007831, 0.057162, 1.085959,
4.900000, 1.471701, 14.589270, 74.459692, 15.851309, 0.011568, 0.058572, 1.104988,
5.000000, 1.464740, 12.544653, 74.442455, 15.315543, 0.008821, 0.056913, 1.086932,
5.100000, 1.450792, 10.063799, 74.448225, 14.376113, 0.008240, 0.060646, 1.090889,
5.200000, 1.501380, 7.936574, 74.462558, 13.916796, 0.007017, 0.060609, 1.082002,
5.300000, 1.574579, 6.723149, 74.444431, 13.226517, 0.008646, 0.064576, 1.118478,
5.400000, 1.403235, 2.094041, 74.450915, 12.989511, -0.007954, 0.074909, 1.077543,
5.500000, 1.401883, 1.188732, 74.455797, 12.519509, -0.015922, 0.073953, 1.059736,
5.600000, 1.526658, 1.214015, 74.644930, 11.119596, -0.025200, 0.065516, 1.080187,
5.700000, 1.480598, 1.210133, 75.040500, 10.081573, -0.029452, 0.072427, 1.094840,
5.800000, 1.502364, 1.193737, 75.055859, 8.808354, -0.050426, 0.084198, 1.089924,
5.900000, 1.510368, 1.198881, 75.230066, 8.928402, -0.043973, 0.087404, 1.088711,
6.000000, 1.521070, 1.162721, 74.865877, 8.432725, -0.045259, 0.095064, 1.083815,
6.100000, 1.435979, 1.147288, 73.281127, 7.594035, -0.051220, 0.096925, 1.087489,
6.200000, 1.470704, 1.219279, 73.471263, 7.835126, -0.050600, 0.102779, 1.095592,
6.300000, 1.496778, 1.183923, 73.848200, 8.048345, -0.049560, 0.095403, 1.082814,
6.400000, 1.473531, 1.147915, 73.846366, 7.542967, -0.048076, 0.093947, 1.091680,
6.500000, 1.493124, 1.146762, 74.044210, 7.874596, -0.050371, 0.100235, 1.097395,
6.600000, 1.491495, 1.192300, 73.879555, 7.543723, -0.054365, 0.098503, 1.088335,
6.700000, 1.574950, 1.200248, 72.684761, 7.742991, -0.053764, 0.101767, 1.079774,
6.800000, 1.533531, 1.187492, 72.855807, 7.314861, -0.050052, 0.101526, 1.091730,
6.900000, 1.523519, 1.173514, 73.285547, 8.045453, -0.049195, 0.096375, 1.094277,
7.000000, 1.497576, 1.217887, 73.276907, 7.932593, -0.052207, 0.085854, 1.090469,
7.100000, 1.460231, 1.176010, 73.291913, 7.908482, -0.050890, 0.088701, 1.097047,
7.200000, 1.472126, 1.137133, 72.692237, 8.141248, -0.051532, 0.093629, 1.083876,
7.300000, 1.530728, 1.138355, 71.697035, 7.528927, -0.050552, 0.095113, 1.083432,
7.400000, 1.510873, 1.156048, 72.094366, 7.463004, -0.049365, 0.087729, 1.070478,
7.500000, 1.490535, 1.180163, 72.098311, 7.369035, -0.048096, 0.087565, 1.067220,
7.600000, 1.503592, 1.168340, 72.270380, 6.244090, -0.048366, 0.094606, 1.102984,
7.700000, 1.526756, 1.177641, 72.665267, 4.663947, -0.044974, 0.086170, 1.115995,
7.800000, 1.487903, 1.154408, 71.912952, 3.527221, -0.056615, 0.092640, 1.113192,
7.900000, 1.469364, 7.044924, 70.516458, 4.211952, -0.053239, 0.112181, 1.078731,
8.000000, 1.504032, 14.051581, 70.879344, 4.121207, -0.050960, 0.125948, 1.055367,
8.100000, 1.466528, 16.758820, 70.906878, 3.307173, -0.045812, 0.124619, 1.066847,
8.200000, 1.503847, 16.946744, 71.089436, 3.354547, -0.037442, 0.114603, 1.088835,
8.300000, 1.484699, 17.817342, 71.496493, 3.251795, -0.027372, 0.117548, 1.083407,
8.400000, 1.488519, 17.450083, 70.763044, 1.856858, -0.031756, 0.132366, 1.097303,
8.500000, 1.541574, 16.512990, 69.132890, 1.261629, -0.028244, 0.133197, 1.108678,
