host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
68,3,0,370.8869,4,0,0,Null,6.6,10.2,5.8,Null,Null,Null,Inf,Inf,Inf,358.4,365.6,-62.4,Inf,Inf,Inf
68,3,0,335.5357,4,0,0,Null,6.4,10.4,5.8,Null,Null,Null,Inf,Inf,Inf,322.6,330.2,-59.6,Inf,Inf,Inf
68,3,0,361.1706,4,0,0,Null,6.4,10.6,5.8,Null,Null,Null,Inf,Inf,Inf,348,355.2,-65.4,Inf,Inf,Inf
69,3,0,656.4785,4,0,0,Null,6.4,10.8,5.8,Null,Null,Null,Inf,Inf,Inf,643.6,650,-92,Inf,Inf,Inf
68,3,0,392.6742,4,0,0,Null,6.4,11,5.8,Null,Null,Null,Inf,Inf,Inf,379,386.6,-68.8,Inf,Inf,Inf
68,3,0,654.12,4,0,0,Null,6.4,11.2,5.8,Null,Null,Null,Inf,Inf,Inf,640.4,646.4,-100.2,Inf,Inf,Inf
68,3,0,1108.7985,4,0,0,Null,6.4,11.4,5.8,Null,Null,Null,Inf,Inf,Inf,1121.8,-1104.6,96.4,Inf,Inf,Inf
69,4,0,836.1397,5,0,0,13.8,6.4,11.6,5.8,Inf,Inf,Inf,Inf,Inf,Inf,822.2,827.8,-117.8,Inf,Inf,Inf
69,4,0,2214.4492,5,0,0,13.8,6.4,11.8,5.8,Inf,Inf,Inf,Inf,Inf,Inf,2200.6,2198.8,-262.8,Inf,Inf,Inf
68,4,0,1022.8282,5,0,0,13.8,6.4,12,5.8,Inf,Inf,Inf,Inf,Inf,Inf,1036.2,-1019.6,81.2,Inf,Inf,Inf
68,4,0,499.2008,5,0,0,13.8,6.4,12,5.8,Inf,Inf,Inf,Inf,Inf,Inf,512.2,-498.8,20,Inf,Inf,Inf
68,4,0,503.9583,5,0,0,13.8,6.4,12.2,5.8,Inf,Inf,Inf,Inf,Inf,Inf,517,-503.6,19,Inf,Inf,Inf
68,4,0,475.9564,5,0,0,13.8,6.4,12.2,5.8,Inf,Inf,Inf,Inf,Inf,Inf,488.8,-475.8,12.2,Inf,Inf,Inf
69,4,0,330.0073,5,0,0,13.8,6.4,12.4,5.8,Inf,Inf,Inf,Inf,Inf,Inf,342.8,-330,-2.2,Inf,Inf,Inf
69,4,0,401.2144,5,0,0,13.8,6.4,12.6,5.8,Inf,Inf,Inf,Inf,Inf,Inf,414.2,-401.2,3.4,Inf,Inf,Inf
