時刻 [sec], ブレーキ踏力 [N], アクセル踏力 [N], 車速 [km/h], 操舵角 [deg], 加速度 (X) [G], 加速度 (Y) [G], 加速度 (Z) [G],
0.000000, 0.871418, 0.033504, 2.174679, 0.550556, -0.007614, 0.003683, 0.057545,
0.100000, 16.373925, 0.717534, 43.223693, 10.579103, -0.131687, 0.036759, 1.088383,
0.200000, 17.246105, 0.634634, 41.558205, 13.097398, -0.132691, 0.078697, 1.047889,
0.300000, 16.951832, 0.707748, 41.846440, 14.416387, -0.138078, 0.072373, 1.060086,
0.400000, 16.441540, 0.731972, 40.877246, 15.744395, -0.127727, 0.056403, 1.042950,
0.500000, 14.795075, 0.645421, 41.258921, 18.050465, -0.124167, 0.056385, 1.049302,
0.600000, 13.926560, 0.649770, 39.706763, 19.099063, -0.114192, 0.054979, 1.099344,
0.700000, 13.405565, 0.652676, 39.758273, 19.146834, -0.114096, 0.054801, 1.096057,
0.800000, 13.784337, 0.692276, 39.998491, 18.726837, -0.119356, 0.056265, 1.088675,
0.900000, 17.113359, 0.715299, 38.568456, 18.740934, -0.109058, 0.047540, 1.077306,
1.000000, 16.758229, 0.665452, 39.358705, 20.809557, -0.109557, 0.046009, 1.086626,
1.100000, 14.488936, 0.679113, 37.301380, 20.208527, -0.108858, 0.038634, 1.063053,
1.200000, 15.248844, 0.718421, 37.869820, 22.677661, -0.106600, 0.010073, 1.072768,
1.300000, 17.356164, 0.721976, 38.164640, 23.422094, -0.109184, 0.052279, 1.063969,
1.400000, 20.924053, 0.732586, 36.677403, 24.232588, -0.115089, 0.022876, 1.084719,
1.500000, 20.619785, 0.637482, 37.031801, 25.140497, -0.119956, 0.029236, 1.071503,
1.600000, 16.161610, 0.700319, 35.488460, 24.072820, -0.130077, 0.046630, 1.030029,
1.700000, 15.039370, 0.677804, 36.111104, 23.985553, -0.130457, 0.031502, 1.079470,
1.800000, 15.147440, 0.665072, 36.362186, 22.788467, -0.123143, 0.046948, 1.077690,
1.900000, 16.327490, 0.648989, 34.865339, 23.390145, -0.118408, 0.048016, 1.021002,
2.000000, 17.353203, 0.715076, 34.914801, 22.613886, -0.125073, 0.018287, 1.101393,
2.100000, 16.017809, 0.748314, 35.146727, 21.540243, -0.125829, 0.059705, 1.057317,
2.200000, 16.342554, 0.704224, 33.679744, 21.204585, -0.117952, 0.057860, 1.088106,
2.300000, 18.100006, 0.738494, 33.961998, 20.142350, -0.121277, 0.021618, 1.094760,
2.400000, 18.920101, 0.748121, 32.386097, 19.411315, -0.117749, 0.060119, 1.063304,
2.500000, 18.895943, 0.675497, 32.548831, 20.441890, -0.139704, 0.070421, 1.075389,
2.600000, 18.168724, 0.702549, 32.794456, 20.318724, -0.124141, 0.033881, 1.075714,
2.700000, 16.304684, 0.715848, 31.294531, 20.254775, -0.123933, 0.065253, 1.071530,
2.800000, 15.596198, 0.740143, 31.869265, 20.073471, -0.133015, 0.048089, 1.057491,
2.900000, 15.871074, 0.749521, 32.110325, 20.057889, -0.123899, 0.041061, 1.092831,
3.000000, 16.878910, 0.684382, 30.132165, 20.624867, -0.123236, 0.088539, 1.074731,
3.100000, 18.000180, 0.750680, 30.608999, 20.177509, -0.137479, 0.038707, 1.074915,
3.200000, 19.248747, 0.724686, 30.467477, 19.918937, -0.119454, 0.066985, 1.083543,
3.300000, 19.467910, 0.772779, 29.395424, 19.572236, -0.133193, 0.059429, 1.105124,
3.400000, 19.901140, 0.757030, 29.463605, 19.341034, -0.123546, 0.053433, 1.101768,
3.500000, 11.110718, 0.760127, 29.832481, 18.757564, -0.132373, 0.053457, 1.095532,
3.600000, -0.188675, 0.758568, 28.770310, 18.140966, -0.106163, 0.059737, 1.049223,
3.700000, -0.684944, 5.724227, 28.790608, 18.229688, -0.032575, 0.079411, 1.105692,
3.800000, -0.782291, 24.186618, 28.844249, 17.490365, -0.031244, 0.057974, 1.101726,
3.900000, -0.773881, 27.559517, 29.382668, 16.145829, -0.029559, 0.042487, 1.062654,
4.000000, -0.865852, 28.329974, 29.116255, 15.167055, -0.012629, 0.100543, 1.058239,
4.100000, -0.774220, 28.984221, 27.020428, 14.358500, -0.025669, 0.064543, 1.110536,
4.200000, -0.851552, 29.441519, 27.317999, 14.461936, 0.004644, 0.068139, 1.085660,
4.300000, -0.851335, 29.660799, 29.376103, 14.025529, 0.041349, 0.083698, 1.062150,
4.400000, -0.869333, 30.177154, 29.386344, 14.480949, 0.051413, 0.090207, 1.094212,
4.500000, -0.848330, 29.280563, 29.317184, 14.939811, 0.049581, 0.073566, 1.098490,
4.600000, -0.863285, 30.224397, 28.715013, 16.213582, 0.073443, 0.071038, 1.081908,
4.700000, -0.963060, 30.084489, 28.421495, 19.242958, 0.078771, 0.089946, 1.021827,
4.800000, -0.915872, 30.372973, 29.975863, 23.495046, 0.073573, 0.084637, 1.051716,
4.900000, -0.885864, 31.289544, 29.925728, 27.792887, 0.069887, 0.031073, 1.078539,
5.000000, -0.808561, 32.254727, 29.604767, 31.472946, 0.065158, 0.046204, 1.090918,
5.100000, -0.880358, 31.765805, 31.098163, 35.380741, 0.088817, 0.043095, 1.056945,
5.200000, -0.860571, 32.805381, 30.525350, 38.501045, 0.092201, 0.002416, 1.086027,
5.300000, -0.855886, 33.018140, 30.190013, 40.274236, 0.108848, 0.030939, 1.098500,
5.400000, -0.972074, 32.303532, 31.717544, 41.794090, 0.115209, 0.010443, 1.056544,
5.500000, -0.993529, 33.813347, 31.394319, 42.449718, 0.137595, -0.010641, 1.043693,
5.600000, -0.954307, 33.431130, 32.909376, 42.468762, 0.146189, 0.005421, 1.096653,
5.700000, -1.095699, 31.832214, 32.685208, 44.117530, 0.178198, 0.008703, 1.028069,
5.800000, -0.987433, 25.527917, 34.355349, 43.686088, 0.197315, 0.003323, 1.054797,
5.900000, -0.906311, 20.655151, 35.232427, 43.054859, 0.181489, -0.003586, 1.104668,
6.000000, -0.996277, 18.915597, 34.308408, 42.992590, 0.176818, -0.006264, 1.100795,
6.100000, -1.025936, 18.891751, 35.544136, 43.068170, 0.182129, -0.006407, 1.060819,
6.200000, -1.044551, 20.427172, 37.074768, 44.273662, 0.179395, -0.006853, 1.077023,
6.300000, -0.922725, 23.117989, 36.734144, 45.423267, 0.170430, -0.026062, 1.094411,
6.400000, -0.892807, 24.062200, 38.502051, 46.233560, 0.192168, -0.039782, 1.048728,
6.500000, -0.920449, 25.821876, 39.491203, 45.513977, 0.161455, -0.019255, 1.042258,
6.600000, -0.940813, 30.344161, 39.097426, 45.929063, 0.150846, -0.015444, 1.103189,
6.700000, -0.955995, 33.565618, 40.100620, 45.046055, 0.176248, -0.053542, 1.105670,
6.800000, -0.953703, 32.291595, 39.692497, 42.002950, 0.150506, -0.023854, 1.124169,
6.900000, -0.970695, 30.950498, 40.686415, 39.146353, 0.158518, -0.013982, 1.068681,
7.000000, -0.964795, 30.640163, 40.367826, 36.099629, 0.181020, -0.013016, 1.070030,
7.100000, -0.921462, 31.185237, 42.069881, 33.602193, 0.157574, 0.015138, 1.067358,
7.200000, -1.080307, 31.817779, 43.201529, 32.237647, 0.160524, 0.004865, 1.078526,
7.300000, -0.972569, 33.508289, 42.754256, 26.607270, 0.160967, 0.036118, 1.089539,
7.400000, -1.000721, 31.534737, 44.308930, 23.002265, 0.157738, 0.032097, 1.095458,
7.500000, -1.022574, 33.100005, 44.013474, 20.630049, 0.165407, 0.035277, 1.094048,
7.600000, -0.980686, 34.684857, 45.487412, 17.840405, 0.153805, 0.069053, 1.117547,
7.700000, -0.952176, 34.566043, 44.883493, 14.827246, 0.154090, 0.074683, 1.074906,
7.800000, -0.898630, 28.253930, 44.467488, 12.649429, 0.156167, 0.119623, 1.131381,
7.900000, -0.960479, 23.001329, 45.536426, 11.829319, 0.163813, 0.103257, 1.072306,
8.000000, -0.973459, 18.812387, 45.649435, 10.911361, 0.157723, 0.111449, 1.058088,
