時刻 [sec], ブレーキ踏力 [N], アクセル踏力 [N], 車速 [km/h], 操舵角 [deg], 加速度 (X) [G], 加速度 (Y) [G], 加速度 (Z) [G],
0.000000, 0.096660, 0.117902, 3.682218, 0.797360, 0.000841, 0.003745, 0.055905,
0.100000, 1.749265, 1.803724, 73.707010, 16.503753, 0.000261, 0.058310, 1.101362,
0.200000, 1.725780, 1.306158, 73.245715, 16.555413, -0.001601, 0.054218, 1.089205,
0.300000, 1.702979, 1.265405, 73.255929, 16.308231, -0.000291, 0.050359, 1.078072,
0.400000, 1.753017, 1.319676, 73.250715, 15.392730, 0.000321, 0.052755, 1.079281,
0.500000, 1.728449, 1.276372, 73.566212, 15.372204, 0.001458, 0.053672, 1.077552,
0.600000, 1.716963, 1.302666, 73.834689, 15.096330, -0.000290, 0.059689, 1.086500,
0.700000, 1.767893, 1.740639, 73.822454, 14.728402, 0.001485, 0.050723, 1.074640,
0.800000, 1.759180, 2.256203, 73.826864, 14.530799, -0.002422, 0.053805, 1.073309,
0.900000, 1.752447, 1.511995, 73.830766, 14.317215, -0.002730, 0.049695, 1.067589,
1.000000, 1.722234, 1.321874, 73.838994, 14.141366, 0.001253, 0.055666, 1.081830,
1.100000, 1.729305, 1.283684, 73.836851, 14.335657, -0.000878, 0.057465, 1.076103,
1.200000, 1.751786, 1.299061, 73.837750, 14.491029, 0.001334, 0.061158, 1.085831,
1.300000, 1.754692, 1.275188, 73.840879, 14.847298, -0.003586, 0.066123, 1.071851,
1.400000, 1.740642, 1.269985, 73.833569, 15.105078, -0.001144, 0.063023, 1.073273,
1.500000, 1.750892, 1.288983, 73.847133, 15.450230, -0.000255, 0.059144, 1.080266,
1.600000, 1.742458, 1.296590, 73.837547, 15.161860, -0.002561, 0.065944, 1.089501,
1.700000, 1.691898, 1.251398, 73.867518, 15.665512, -0.002234, 0.066945, 1.090428,
1.800000, 1.687430, 1.245478, 73.877667, 15.550271, -0.009633, 0.061879, 1.065757,
1.900000, 1.659615, 1.235590, 73.908082, 16.004399, -0.002905, 0.063521, 1.072332,
2.000000, 1.609158, 1.214379, 73.911137, 16.164423, -0.004591, 0.052693, 1.069542,
2.100000, 1.647579, 1.245359, 74.190055, 15.892001, -0.009941, 0.059189, 1.075770,
2.200000, 1.671751, 1.253176, 74.479267, 16.021240, -0.008435, 0.062406, 1.076329,
2.300000, 1.729871, 1.280172, 74.455460, 15.315488, -0.007868, 0.054494, 1.075646,
2.400000, 1.757017, 1.275781, 74.429840, 15.683099, -0.009966, 0.058724, 1.085648,
2.500000, 1.761261, 1.297576, 74.424618, 15.148906, -0.006324, 0.057842, 1.089688,
2.600000, 1.727821, 1.313380, 73.489327, 15.186564, -0.013983, 0.058107, 1.067252,
2.700000, 1.732493, 1.278045, 72.658992, 15.216185, -0.004623, 0.065911, 1.101818,
2.800000, 1.723269, 1.302099, 72.661915, 15.639152, -0.010910, 0.048380, 1.094098,
2.900000, 1.725806, 1.283312, 72.652882, 16.538864, -0.023379, 0.048779, 1.054884,
3.000000, 1.618739, 1.223336, 72.697001, 18.155019, -0.007604, 0.062879, 1.024815,
3.100000, 1.676805, 1.255860, 72.682911, 17.859863, -0.006342, 0.055650, 1.032253,
3.200000, 1.748185, 1.324317, 72.657585, 18.119081, -0.012986, 0.040731, 1.070067,
3.300000, 1.710721, 1.282081, 72.965451, 18.154845, -0.006881, 0.035544, 1.100772,
3.400000, 1.766370, 1.301045, 72.931121, 18.106835, -0.018129, 0.044905, 1.108174,
3.500000, 1.750641, 1.300658, 72.965457, 18.324311, -0.012258, 0.034459, 1.117248,
3.600000, 1.728963, 1.291365, 73.247506, 18.123210, -0.017944, 0.034893, 1.083104,
3.700000, 1.728618, 1.262392, 73.243276, 17.524354, -0.009092, 0.043569, 1.061505,
