"time[sec]","lat[deg]","lon[deg]","brake[N]","gas[N]","velocity[km/h]","steering.angle[deg]","acc.x[G]","acc.y[G]","acc.z[G]"
0,35.175560670171,137.020400332008,-2.4974,13.025,76.5905,54.8558,0.0353,-0.003,1.0758
0.100000000000364,35.175560670171,137.020400332008,-2.4898,13.4484,75.199,55.0064,0.0352,-0.0026,1.082
0.199999999999818,35.175560670171,137.020400332008,-2.4731,13.4945,76.5876,54.5354,0.0385,-0.009,1.0855
0.300000000000182,35.175560670171,137.020400332008,-2.486,13.4779,76.81,54.508,0.0385,-0.0104,1.0843
0.400000000000546,35.175560670171,137.020400332008,-2.5034,13.2418,76.8205,54.3052,0.0374,-0.011,1.0628
0.5,35.175560670171,137.020400332008,-2.6206,13.3178,76.9112,54.9543,0.0337,-0.0077,1.052
0.600000000000364,35.175560670171,137.020400332008,-2.648,13.6464,75.2955,54.9997,0.0375,-0.0024,1.0395
0.699999999999818,35.175560670171,137.020400332008,-2.6014,14.0272,75.0644,54.9448,0.0418,-0.011,1.0703
0.800000000000182,35.175560670171,137.020400332008,-2.5668,13.9891,76.6338,54.602,0.044,-0.0089,1.0786
0.900000000000546,35.1757277494254,137.020299423261,-2.5454,13.937,76.8472,53.8711,0.0398,-0.01,1.0765
1,35.1757277494254,137.020299423261,-2.5601,13.7714,76.8292,53.8746,0.0387,-0.0129,1.0755
1.10000000000036,35.1757277494254,137.020299423261,-2.5541,13.8954,76.8192,54.1005,0.0408,-0.0073,1.0663
1.19999999999982,35.1757277494254,137.020299423261,-2.5545,13.7781,76.807,53.456,0.0425,-0.0064,1.0736
1.30000000000018,35.1757277494254,137.020299423261,-2.5692,13.9935,76.8215,53.3831,0.0426,-0.0038,1.0683
1.40000000000055,35.1757277494254,137.020299423261,-2.5978,14.8827,76.2933,53.4519,0.0417,0.0013,1.0612
1.5,35.1757277494254,137.020299423261,-2.6035,16.773,76.2052,53.1306,0.0394,-5e-04,1.0534
1.60000000000036,35.1757277494254,137.020299423261,-2.5985,17.9589,76.2225,52.8418,0.0385,-0.0034,1.0545
1.69999999999982,35.1757277494254,137.020299423261,-2.569,18.0954,76.1918,51.6923,0.0448,0.0018,1.0592
1.80000000000018,35.1757277494254,137.020299423261,-2.5627,16.948,76.226,51.5255,0.0437,0.0034,1.0783
1.90000000000055,35.1758937437335,137.020198514554,-2.5735,15.0813,76.2086,51.6314,0.0423,0.0142,1.0823
2,35.1758937437335,137.020198514554,-2.5483,13.6216,76.1935,51.2417,0.0424,0.0145,1.0861
2.10000000000036,35.1758937437335,137.020198514554,-2.5849,13.2056,76.2195,51.4028,0.036,0.0205,1.0648
2.19999999999982,35.1758937437335,137.020198514554,-2.5916,13.5985,76.2115,51.1445,0.0378,0.0273,1.0569
2.30000000000018,35.1758937437335,137.020198514554,-2.556,15.6403,76.1979,50.9358,0.0396,0.028,1.0588
2.40000000000055,35.1758937437335,137.020198514554,-2.5587,17.226,76.1859,50.6582,0.0355,0.0231,1.0551
2.5,35.1758937437335,137.020198514554,-2.558,17.3389,76.1789,50.677,0.0393,0.02,1.0516
2.60000000000036,35.1758937437335,137.020198514554,-2.5467,16.5517,76.1805,50.644,0.0403,0.0106,1.0561
