"time[sec]","lat[deg]","lon[deg]","brake[N]","gas[N]","velocity[km/h]","steering.angle[deg]","acc.x[G]","acc.y[G]","acc.z[G]"
0,35.2218374594191,136.910348540138,0.2244,11.5465,69.5543,62.7687,0.0442,0.0282,1.0559
0.100000000000364,35.2218374594191,136.910348540138,0.2193,10.1258,69.5581,62.878,0.0413,0.0282,1.0652
0.200000000000273,35.2218374594191,136.910348540138,0.2469,9.8559,69.5557,63.4822,0.0408,0.0284,1.0576
0.300000000000182,35.2218374594191,136.910348540138,0.2508,9.1952,69.5522,63.5543,0.0383,0.0269,1.0605
0.400000000000091,35.2216703786185,136.910385435344,0.2554,8.7825,69.5624,63.853,0.0408,0.0279,1.0742
0.5,35.2216703786185,136.910385435344,0.2801,8.7166,68.9597,63.8387,0.0403,0.0282,1.084
0.600000000000364,35.2216703786185,136.910385435344,0.2087,7.8024,68.9121,63.3986,0.0391,0.0248,1.0662
0.700000000000273,35.2216703786185,136.910385435344,0.0044,6.5246,68.7362,61.8032,0.0357,0.0231,1.0625
0.800000000000182,35.2216703786185,136.910385435344,0.036,5.7619,68.7226,62.0349,0.0413,0.0191,1.068
0.900000000000091,35.2216703786185,136.910385435344,0.0392,5.3406,68.7358,63.251,0.0396,0.0195,1.0706
1,35.2216703786185,136.910385435344,0.0369,4.8145,68.7288,63.8525,0.038,0.0097,1.0644
1.10000000000036,35.2216703786185,136.910385435344,0.0294,4.8676,68.7274,64.0444,0.0378,0.0112,1.0563
1.20000000000027,35.2216703786185,136.910385435344,0.0348,4.7513,68.7315,64.6925,0.0359,0.0116,1.0685
1.30000000000018,35.2216703786185,136.910385435344,0.0272,4.2004,68.7385,64.7693,0.0331,0.0024,1.0662
1.40000000000009,35.2215022129513,136.910425585515,0.0263,3.569,71.1054,65.2058,0.0328,-5e-04,1.0757
1.5,35.2215022129513,136.910425585515,0.0196,3.1275,68.7299,65.618,0.029,-0.0029,1.0519
1.60000000000036,35.2215022129513,136.910425585515,0.0095,3.1344,68.7347,65.8529,0.0231,0.0025,1.0542
1.70000000000027,35.2215022129513,136.910425585515,0.0536,3.2193,68.7286,66.278,0.0213,0.005,1.0563
1.80000000000018,35.2215022129513,136.910425585515,0.0369,3.7954,68.7223,66.3013,0.0194,3e-04,1.0485
1.90000000000009,35.2215022129513,136.910425585515,0.0031,4.048,68.7459,66.6798,0.0169,-0.003,1.0584
2,35.2215022129513,136.910425585515,0.0336,5.0542,69.3228,66.5162,0.016,-0.0045,1.0592
2.10000000000036,35.2215022129513,136.910425585515,0.0222,7.4377,69.3192,66.3028,0.0144,0,1.0694
2.20000000000027,35.2215022129513,136.910425585515,0.0068,10.1131,69.3322,66.5579,0.0147,-0.0034,1.0704
2.30000000000018,35.2215022129513,136.910425585515,0.0072,11.6148,69.3257,66.694,0.0144,-0.0081,1.0702
2.40000000000009,35.2213340472575,136.91046465071,-0.009,12.4867,69.3325,66.7018,0.0149,-0.0059,1.0591
2.5,35.2213340472575,136.91046465071,-0.0341,12.3521,69.3574,67.3228,0.0167,5e-04,1.0605
2.60000000000036,35.2213340472575,136.91046465071,-0.025,11.8685,69.3653,67.5397,0.0208,0.0023,1.0635
2.70000000000027,35.2213340472575,136.91046465071,-0.0335,11.853,69.3479,67.4609,0.0204,0.0017,1.0672
2.80000000000018,35.2213340472575,136.91046465071,-0.0443,11.6008,69.347,67.7181,0.0206,-0.004,1.0577
2.90000000000009,35.2213340472575,136.91046465071,-0.029,11.0371,69.3364,67.6011,0.0249,-0.0026,1.0677
3,35.2213340472575,136.91046465071,-0.0246,11.5176,69.3337,67.9324,0.0303,-0.0085,1.0769
3.10000000000036,35.2213340472575,136.91046465071,-0.0535,11.3416,69.3517,68.2823,0.0275,-0.0178,1.063
3.20000000000027,35.2213340472575,136.91046465071,-0.0471,12.3043,69.3377,68.1266,0.0315,-0.0222,1.0724
3.30000000000018,35.2213340472575,136.91046465071,-0.0455,14.7015,69.9161,67.8777,0.0324,-0.0205,1.0601
3.40000000000009,35.2211658814578,136.910499376006,-0.0767,16.0119,69.9387,67.5985,0.0287,-0.0205,1.0543
3.5,35.2211658814578,136.910499376006,-0.0457,17.004,69.9301,67.3351,0.0325,-0.0177,1.0539
3.60000000000036,35.2211658814578,136.910499376006,-0.038,17.5783,69.9256,67.0623,0.0343,-0.0084,1.066
3.70000000000027,35.2211658814578,136.910499376006,-0.0888,16.5177,69.9298,66.6795,0.0357,-0.0162,1.0541
3.80000000000018,35.2211658814578,136.910499376006,-0.0812,14.2747,69.9273,66.2989,0.0361,-0.0164,1.048
3.90000000000009,35.2211658814578,136.910499376006,-0.0676,12.0511,69.9262,65.7876,0.0413,-0.0096,1.0571
4,35.2211658814578,136.910499376006,-0.0736,11.4137,69.9326,65.1095,0.0393,-0.0034,1.0679
4.10000000000036,35.2211658814578,136.910499376006,-0.0741,12.298,69.9245,64.4066,0.0367,-0.001,1.0672
4.20000000000027,35.2211658814578,136.910499376006,-0.1099,12.7182,69.3392,64.2006,0.0339,0.0063,1.0609
4.30000000000018,35.2211658814578,136.910499376006,-0.1044,12.6988,69.3538,64.4344,0.0349,0.0096,1.0577
4.40000000000009,35.2209977155784,136.910530846377,-0.154,12.7515,69.9918,65.141,0.0359,0.0107,1.0636
4.5,35.2209977155784,136.910530846377,-0.0818,12.8122,69.9538,64.2791,0.0393,0.0111,1.0746
4.60000000000036,35.2209977155784,136.910530846377,-0.0942,13.4694,69.3652,64.2784,0.0387,0.0054,1.0743
4.70000000000027,35.2209977155784,136.910530846377,-0.1095,14.7804,69.3695,64.7814,0.031,0.0017,1.0706
4.80000000000018,35.2209977155784,136.910530846377,-0.0943,14.9195,69.3269,64.6767,0.0363,0.0204,1.0592
4.90000000000009,35.2209977155784,136.910530846377,-0.0981,14.6726,69.3444,65.354,0.0337,0.0085,1.0771
5,35.2209977155784,136.910530846377,-0.134,13.2912,69.3604,65.7979,0.041,0.0084,1.0474
5.10000000000036,35.2209977155784,136.910530846377,-0.0983,11.4518,69.334,65.5561,0.0289,0.0021,1.0648
5.20000000000027,35.2209977155784,136.910530846377,-0.1566,10.8259,69.376,65.9529,0.0386,0.0057,1.0543
5.30000000000018,35.2209977155784,136.910530846377,-0.1287,9.1922,69.3641,65.8691,0.0337,0.0063,1.0692
5.40000000000009,35.2208295495666,136.910556891873,-0.0974,8.1373,69.3385,65.6641,0.0303,0.0042,1.0616
5.5,35.2208295495666,136.910556891873,-0.0995,8.6206,69.3387,65.7977,0.033,0.0121,1.0778
5.60000000000036,35.2208295495666,136.910556891873,-0.0918,8.6267,69.3302,66.0441,0.0326,0.0052,1.0793
5.70000000000027,35.2208295495666,136.910556891873,-0.0904,8.0612,69.3255,66.206,0.0333,-1e-04,1.0798
5.80000000000018,35.2208295495666,136.910556891873,-0.0913,6.7399,69.3267,66.163,0.0309,-0.0083,1.0569
5.90000000000009,35.2208295495666,136.910556891873,-0.0975,6.1373,69.3324,66.4464,0.0311,-0.0026,1.0544
6,35.2208295495666,136.910556891873,-0.1051,6.1095,69.3316,66.4371,0.0268,-3e-04,1.0305
6.10000000000036,35.2208295495666,136.910556891873,-0.0974,6.1085,69.3355,66.4524,0.0312,0.0025,1.0479
6.20000000000027,35.2208295495666,136.910556891873,-0.1532,5.728,69.3999,67.6877,0.0334,3e-04,1.0539
6.30000000000018,35.2208295495666,136.910556891873,-0.0919,5.8215,69.3502,67.066,0.0266,-0.0028,1.0574
6.40000000000009,35.2206602980495,136.910580767922,-0.1252,5.6763,69.378,66.9203,0.0321,-0.0032,1.07
6.5,35.2206602980495,136.910580767922,-0.1023,5.4348,69.37,66.8767,0.0323,-0.0119,1.0741
6.60000000000036,35.2206602980495,136.910580767922,-0.056,4.9268,69.3338,66.3257,0.0315,-0.0144,1.0959
6.70000000000027,35.2206602980495,136.910580767922,-0.0921,4.9319,69.338,65.9916,0.032,-0.0138,1.0776
6.80000000000018,35.2206602980495,136.910580767922,-0.1022,5.6614,69.3314,65.3362,0.027,-0.0112,1.0474
6.90000000000009,35.2206602980495,136.910580767922,-0.0803,5.3599,69.8944,65.196,0.026,-0.0018,1.0526
7,35.2206602980495,136.910580767922,-0.118,4.5392,69.9273,64.715,0.0287,0.0097,1.0332
7.10000000000036,35.2206602980495,136.910580767922,-0.0912,4.7029,69.9139,63.5902,0.023,0.0085,1.0473
7.20000000000027,35.2206602980495,136.910580767922,-0.0645,4.61,69.9063,63.0163,0.0284,0.0092,1.0313
7.30000000000018,35.2206602980495,136.910580767922,-0.0931,4.1892,69.9055,63.2558,0.0273,0.0108,1.0972
7.40000000000009,35.2204910469324,136.910600303608,-0.0868,4.2149,69.3491,63.3696,0.0237,0.0087,1.0934
7.5,35.2204910469324,136.910600303608,-0.0936,3.6015,69.3201,63.4321,0.023,0.0097,1.0889
7.60000000000036,35.2204910469324,136.910600303608,-0.0823,3.4283,69.872,63.1843,0.0238,0.0158,1.0699
7.70000000000027,35.2204910469324,136.910600303608,-0.1238,3.4521,69.9235,63.3458,0.0206,0.023,1.0547
7.80000000000018,35.2204910469324,136.910600303608,-0.1028,3.7845,69.9102,63.1211,0.0226,0.0267,1.0508
7.90000000000009,35.2204910469324,136.910600303608,-0.1142,4.4264,69.9207,63.1975,0.0223,0.0188,1.0469
8,35.2204910469324,136.910600303608,-0.1176,4.0523,68.246,63.1412,0.022,0.0135,1.0554
8.10000000000036,35.2204910469324,136.910600303608,-0.0846,4.0021,69.7993,62.8004,0.0239,0.016,1.0699
8.20000000000027,35.2204910469324,136.910600303608,-0.0828,4.8476,68.2485,62.5009,0.0216,0.0157,1.0771
8.30000000000018,35.2204910469324,136.910600303608,-0.0931,5.4076,69.8033,62.1374,0.0181,0.0235,1.0807
8.40000000000009,35.220322880682,136.91061658433,-0.0921,4.6273,68.2379,61.9606,0.0188,0.0248,1.0721
8.5,35.220322880682,136.91061658433,-0.098,4.2121,68.1361,62.2704,0.0199,0.0259,1.0552
8.60000000000036,35.220322880682,136.91061658433,-0.1145,3.857,68.1341,62.327,0.022,0.023,1.0461
8.70000000000027,35.220322880682,136.91061658433,-0.0803,4.5374,68.1262,62.3131,0.0185,0.0292,1.0566
8.80000000000018,35.220322880682,136.91061658433,-0.0559,4.6776,68.127,62.9872,0.0221,0.0295,1.07
8.90000000000009,35.220322880682,136.91061658433,-0.0806,4.3147,68.1408,63.2246,0.0191,0.0305,1.0731
9,35.220322880682,136.91061658433,-0.0941,4.2667,68.1333,63.2395,0.0213,0.0252,1.0839
9.10000000000036,35.220322880682,136.91061658433,-0.103,4.2746,68.1253,63.1401,0.0164,0.0254,1.0647
9.20000000000027,35.220322880682,136.91061658433,-0.1092,3.8442,68.1418,63.1989,0.0203,0.025,1.0573
9.30000000000018,35.220322880682,136.91061658433,-0.0946,3.1186,68.1342,63.0623,0.0207,0.0217,1.058
9.40000000000009,35.2201536294323,136.910630695141,-0.108,3.2408,68.1344,62.9982,0.0222,0.0209,1.0455
9.5,35.2201536294323,136.910630695141,-0.0924,3.7017,68.1399,63.1622,0.0216,0.0213,1.0413
9.60000000000036,35.2201536294323,136.910630695141,-0.0661,3.0179,68.1239,62.9814,0.0204,0.0248,1.0636
9.70000000000027,35.2201536294323,136.910630695141,-0.0796,2.4503,68.1367,63.264,0.0216,0.0272,1.068
9.80000000000018,35.2201536294323,136.910630695141,-0.0574,2.7726,68.1432,63.1369,0.0188,0.0229,1.0709
9.90000000000009,35.2201536294323,136.910630695141,-0.0774,3.9769,68.1269,62.7998,0.0158,0.0252,1.0609
10,35.2201536294323,136.910630695141,-0.0792,4.5956,68.1431,63.0726,0.019,0.0241,1.0679
10.1000000000004,35.2201536294323,136.910630695141,-0.084,4.7208,68.1324,62.7374,0.0189,0.0257,1.0611
10.2000000000003,35.2201536294323,136.910630695141,-0.0747,4.7067,68.1401,62.5986,0.0168,0.0219,1.0677
10.3000000000002,35.2201536294323,136.910630695141,-0.0815,4.669,68.1235,61.966,0.0156,0.0282,1.0576
10.4000000000001,35.2199854631023,136.910643720938,-0.0856,4.6851,68.1356,62.0818,0.0155,0.0269,1.0645
10.5,35.2199854631023,136.910643720938,-0.0825,4.9723,68.1376,61.5283,0.0173,0.0294,1.0668
10.6000000000004,35.2199854631023,136.910643720938,-0.0937,4.6364,68.1246,61.3363,0.0183,0.0331,1.0615
10.7000000000003,35.2199854631023,136.910643720938,-0.097,3.3005,68.148,61.8406,0.0158,0.0324,1.0575
10.8000000000002,35.2199854631023,136.910643720938,-0.1037,1.8458,68.1194,61.4356,0.0154,0.0293,1.0497
10.9000000000001,35.2199854631023,136.910643720938,-0.1078,1.0832,68.6792,61.7752,0.0182,0.0289,1.0525
11,35.2199854631023,136.910643720938,-0.0982,1.0569,68.7459,61.9334,0.0171,0.0348,1.0719
