"time[sec]","lat[deg]","lon[deg]","brake[N]","gas[N]","velocity[km/h]","steering.angle[deg]","acc.x[G]","acc.y[G]","acc.z[G]"
0,35.1761541401162,137.02047408645,-1.2955,22.0948,66.5153,51.8579,0.0297,0.004,1.0691
0.0999999999999091,35.1761541401162,137.02047408645,-1.2865,22.4161,66.508,51.912,0.0289,8e-04,1.066
0.199999999999818,35.1762875862223,137.020380773749,-1.2875,22.1677,66.511,52.0838,0.0306,0.0018,1.0798
0.299999999999727,35.1762875862223,137.020380773749,-1.2779,21.0552,66.5149,52.1573,0.0307,0.0019,1.08
0.399999999999636,35.1762875862223,137.020380773749,-1.2461,20.7591,66.5202,52.2072,0.0327,0.0015,1.0769
0.5,35.1762875862223,137.020380773749,-1.2888,22.2969,66.509,52.3431,0.0349,-0.0035,1.0686
0.599999999999909,35.1762875862223,137.020380773749,-1.4084,25.3069,66.5186,52.4395,0.0347,-6e-04,1.0587
0.699999999999818,35.1762875862223,137.020380773749,-1.3918,26.7075,66.507,52.6943,0.0367,0.0028,1.0708
0.799999999999727,35.1762875862223,137.020380773749,-1.4301,26.0353,67.7787,52.5606,0.0381,0.009,1.0624
0.899999999999636,35.1762875862223,137.020380773749,-1.4285,25.8322,67.0631,52.764,0.0336,0.0055,1.0619
1,35.1762875862223,137.020380773749,-1.426,24.8877,67.7861,52.3031,0.0331,8e-04,1.0614
1.09999999999991,35.1762875862223,137.020380773749,-1.4178,23.2446,68.3062,51.8722,0.0389,0.006,1.0741
1.19999999999982,35.1764177774366,137.020285291216,-1.4514,21.014,68.3257,52.134,0.0403,0.0055,1.0926
1.29999999999973,35.1764177774366,137.020285291216,-1.4192,21.0271,68.3163,51.7799,0.0372,-1e-04,1.0725
1.39999999999964,35.1764177774366,137.020285291216,-1.3246,21.7944,68.3165,51.9529,0.0417,-6e-04,1.0796
1.5,35.1764177774366,137.020285291216,-1.2909,21.4585,68.3269,52.0225,0.0462,-0.0011,1.0876
1.59999999999991,35.1764177774366,137.020285291216,-1.295,20.7569,68.3235,52.2491,0.0453,-0.006,1.0918
