"time[sec]","lat[deg]","lon[deg]","brake[N]","gas[N]","velocity[km/h]","steering.angle[deg]","acc.x[G]","acc.y[G]","acc.z[G]"
0,35.2930499611321,136.906213285342,0.5194,5.2642,90.3267,70.088,0.0948,0.0209,1.0646
0.0999999999999091,35.2930499611321,136.906213285342,0.5242,4.2854,90.6699,70.1645,0.0931,0.0234,1.0421
0.199999999999818,35.2930499611321,136.906213285342,0.5615,4.1138,90.9239,70.0106,0.0945,0.0269,1.0811
0.299999999999727,35.2930499611321,136.906213285342,0.5693,3.3264,90.6031,70.0619,0.0921,0.0191,1.0776
0.400000000000091,35.292836225072,136.906143854731,0.5069,2.0938,90.6691,70.1771,0.0866,0.0168,1.0578
0.5,35.292836225072,136.906143854731,0.5608,1.1398,90.9179,69.7118,0.0843,0.0185,1.0528
0.599999999999909,35.292836225072,136.906143854731,0.5323,1.1275,90.9383,70.1425,0.0829,0.0175,1.0812
0.699999999999818,35.292836225072,136.906143854731,0.5497,1.0552,90.9301,69.9525,0.0814,0.0175,1.0765
0.799999999999727,35.292836225072,136.906143854731,0.5377,1.0465,89.6382,69.8831,0.0774,0.0188,1.0589
0.900000000000091,35.292836225072,136.906143854731,0.509,1.0264,88.5213,69.5901,0.08,0.0161,1.0563
1,35.292836225072,136.906143854731,0.5119,1.0223,88.5064,69.336,0.0674,0.0113,1.056
1.09999999999991,35.292836225072,136.906143854731,0.5014,1.0187,88.5065,69.4407,0.0784,0.013,1.0849
1.19999999999982,35.292836225072,136.906143854731,0.541,1.0195,88.5089,69.4421,0.0742,0.0143,1.093
1.29999999999973,35.292836225072,136.906143854731,0.5272,1.0215,88.5025,69.7108,0.0718,0.0124,1.0842
1.40000000000009,35.2926235739578,136.906074424079,0.5049,1.0034,88.8299,69.7059,0.0643,0.0104,1.0495
1.5,35.2926235739578,136.906074424079,0.5346,1.0024,89.0872,69.523,0.0674,0.0125,1.0389
