"time[sec]","lat[deg]","lon[deg]","brake[N]","gas[N]","velocity[km/h]","steering.angle[deg]","acc.x[G]","acc.y[G]","acc.z[G]"
0,35.2215022158575,136.910399542875,-0.7438,13.7973,66.3978,65.9367,0.0465,-0.0447,1.0375
0.100000000000364,35.2215022158575,136.910399542875,-0.7781,14.5649,66.4124,66.1012,0.0462,-0.0427,1.027
0.200000000000728,35.2213405592549,136.910435353373,-0.8207,16.9571,66.4737,65.8687,0.0481,-0.0444,1.0087
0.300000000000182,35.2213405592549,136.910435353373,-0.8083,18.424,67.0425,65.6673,0.0482,-0.0497,1.0127
0.400000000000546,35.2213405592549,136.910435353373,-0.7693,19.8846,67.0249,65.3302,0.0551,-0.0479,1.0134
0.5,35.2213405592549,136.910435353373,-0.7032,22.0432,67.009,65.4131,0.0546,-0.0504,1.0207
0.600000000000364,35.2213405592549,136.910435353373,-0.6613,22.9541,67.0047,65.6793,0.0572,-0.0394,1.0284
0.700000000000728,35.2213405592549,136.910435353373,-0.6396,22.9543,66.9847,65.6853,0.0681,-0.033,1.0286
0.800000000000182,35.2213405592549,136.910435353373,-0.6219,22.1254,66.9887,66.0092,0.0748,-0.0366,1.027
0.900000000000546,35.2213405592549,136.910435353373,-0.6142,22.8026,66.9965,66.6789,0.0807,-0.0394,1.0202
1,35.2213405592549,136.910435353373,-0.5922,23.6138,66.9761,67.097,0.0793,-0.0473,1.0277
1.10000000000036,35.2213405592549,136.910435353373,-0.655,24.2392,66.9942,67.8394,0.0824,-0.0416,1.0113
1.20000000000073,35.2211799880249,136.910467908444,-0.6537,24.78,66.9861,67.7709,0.0783,-0.0503,1.0067
1.30000000000018,35.2211799880249,136.910467908444,-0.6886,23.9005,67.0032,67.336,0.0835,-0.0471,1.0051
1.40000000000055,35.2211799880249,136.910467908444,-0.7267,20.3286,67.0359,67.2694,0.0841,-0.0479,0.9989
1.5,35.2211799880249,136.910467908444,-0.6887,17.5167,66.9808,66.3411,0.0914,-0.0482,1.0272
1.60000000000036,35.2211799880249,136.910467908444,-0.6675,17.728,66.4155,65.6854,0.0922,-0.0415,1.0449
1.70000000000073,35.2211799880249,136.910467908444,-0.6954,18.3026,66.4147,64.5857,0.0878,-0.0294,1.0382
1.80000000000018,35.2211799880249,136.910467908444,-0.711,19.7567,66.4082,63.8613,0.0836,-0.0186,1.022
1.90000000000055,35.2211799880249,136.910467908444,-0.7091,21.1059,66.4131,63.8228,0.0892,-0.0168,1.0154
2,35.2211799880249,136.910467908444,-0.6673,21.8837,66.4045,63.7145,0.0909,-0.0196,1.0149
2.10000000000036,35.2211799880249,136.910467908444,-0.6876,21.6531,66.4144,64.0931,0.0939,-0.017,1.014
2.20000000000073,35.2210194166889,136.910496123614,-0.665,22.0919,66.3995,63.9762,0.0907,-0.0104,1.0283
2.30000000000018,35.2210194166889,136.910496123614,-0.6875,22.4028,66.3852,64.1486,0.096,-0.014,1.027
2.40000000000055,35.2210194166889,136.910496123614,-0.7148,22.5767,65.8262,64.2177,0.0922,-0.0078,1.0198
